"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0042712084729079,0.555893798875536,0.26,0.212,1,"1","CFAP221"
0.00428850506892949,-0.322272358019494,0.237,0.315,1,"1","ST8SIA1"
0.00429126225703623,0.592530794340257,0.284,0.24,1,"1","MAGI3"
0.00431841519685111,-0.257906608815358,0.439,0.53,1,"1","BACE2"
0.00434245092343018,0.700893709157523,0.204,0.161,1,"1","BSPRY"
0.00435210841282191,0.494578779010396,0.366,0.326,1,"1","SCEL"
0.00436404722405523,-0.381536258140469,0.086,0.139,1,"1","GPX8"
0.0043694671666917,-0.283358197811439,0.174,0.245,1,"1","DNAJB9"
0.00437982072505865,-0.35527930598578,0.125,0.187,1,"1","SYNGR1"
0.0043920665029829,-0.489266682580598,0.105,0.161,1,"1","YOD1"
0.00443516001246134,-0.300578471546628,0.153,0.222,1,"1","TRPT1"
0.00444455418209646,0.609836280412175,0.252,0.207,1,"1","PLA2G4F"
0.00445243610643781,0.41504786586543,0.37,0.334,1,"1","LRP6"
0.00449856182430979,-0.553921937482591,0.084,0.135,1,"1","CD72"
0.00452025042257471,0.723112398185265,0.183,0.141,1,"1","VEGFC"
0.00457605811378141,-0.326580612617294,0.155,0.221,1,"1","MTHFSD"
0.00458131186053933,-0.552354576560026,0.077,0.126,1,"1","ZNF577"
0.00461936942996606,0.626550793688055,0.224,0.177,1,"1","ADAMTS8"
0.00462515627019353,-0.333622498259489,0.258,0.333,1,"1","IFITM10"
0.00463336070219152,-0.263958575219014,0.271,0.357,1,"1","HEBP1"
0.00465571155040195,-0.50477460735792,0.144,0.207,1,"1","HIST1H2BB"
0.00466053799807784,-0.355674691874912,0.174,0.246,1,"1","NUDT22"
0.00466176234209819,-0.414530168359056,0.114,0.171,1,"1","ZNF772"
0.00466642621587001,-0.305233870126548,0.144,0.208,1,"1","TMEM38B"
0.00467444091416763,-0.537220696450393,0.105,0.16,1,"1","CTTNBP2"
0.00469561047163318,-0.298036712141016,0.146,0.211,1,"1","NT5DC3"
0.00470486339054041,-0.266215317734713,0.381,0.471,1,"1","DTX3"
0.00476919353086113,-0.253984070820964,0.2,0.274,1,"1","PTGR1"
0.00482170261704955,-0.393547545552041,0.131,0.191,1,"1","IARS2"
0.00483284221672286,-0.440268961376018,0.092,0.147,1,"1","ISOC2"
0.00484585340241892,-0.251184743065704,0.103,0.162,1,"1","NFKBIB"
0.00484830967773987,-0.493036002966543,0.06,0.105,1,"1","MED1"
0.00487029743503038,-0.290150293480747,0.286,0.369,1,"1","VWA8"
0.00489059471057239,0.778829101482242,0.116,0.078,1,"1","TMEM88"
0.00490236653556736,0.803181216164921,0.224,0.18,1,"1","RAVER2"
0.00491856218562194,0.605787526040715,0.262,0.218,1,"1","CNKSR1"
0.0049261317945727,-0.271272997693921,0.546,0.64,1,"1","IGHM"
0.00494287562797477,-0.307841980027767,0.112,0.17,1,"1","CCDC154"
0.00494687739019289,-0.409544076517489,0.105,0.162,1,"1","PPP1R8"
0.00496330295242918,-0.411162169217766,0.11,0.166,1,"1","MEGF8"
0.00499876108156314,-0.368967416927708,0.125,0.185,1,"1","WDR5"
0.00500547617512368,0.416314705578039,0.376,0.338,1,"1","MYO5C"
0.00500908580191116,-0.258716085661974,0.275,0.357,1,"1","TRAJ18"
0.00501229827151027,-0.25200997847842,0.181,0.255,1,"1","B4GALT3"
0.00503136564092023,-0.323315246403616,0.163,0.234,1,"1","MCOLN1"
0.00506785723195882,-0.44890272472297,0.097,0.15,1,"1","GNA15"
0.00508084161913692,-0.286183955132568,0.133,0.195,1,"1","GPR68"
0.00510948517024006,-0.26856140907873,0.146,0.212,1,"1","THUMPD3"
0.00511662388250955,-0.330648649110954,0.146,0.211,1,"1","FEM1A"
0.00513024868729568,-0.37198767553775,0.123,0.184,1,"1","GCDH"
0.00518242133294111,-0.373730622531483,0.103,0.161,1,"1","SLC25A43"
0.00520339091808574,0.617291980544526,0.217,0.172,1,"1","PDZK1IP1"
0.00520651981694163,-0.285782408365369,0.239,0.317,1,"1","FCGR1B"
0.0053704523829074,-0.298085058248645,0.269,0.353,1,"1","PHACTR4"
0.00540127895274847,-0.366971921904805,0.112,0.17,1,"1","REST"
0.00541865123155326,-0.550018231932611,0.086,0.136,1,"1","TRO"
0.00543445980580656,-0.269282300557877,0.211,0.289,1,"1","SPATS2"
0.0054447750166708,0.348147608046824,0.535,0.516,1,"1","PPP1R13B"
0.00545488376793763,-0.260003044420198,0.237,0.313,1,"1","MAFG"
0.00547351902215525,-0.253910863986279,0.185,0.258,1,"1","RHOQ"
0.00552440544167376,0.816566922486204,0.148,0.109,1,"1","CP"
0.00553668590239466,0.336625822104902,0.559,0.544,1,"1","GADD45B"
0.00554868320819483,-0.342506355927052,0.112,0.166,1,"1","CEP295"
0.00558642631140364,-0.652807667262786,0.062,0.106,1,"1","LOX"
0.00561795542638197,-0.289130038797194,0.256,0.328,1,"1","TIMM17B"
0.0056554805152968,-0.320069441690966,0.198,0.269,1,"1","CELF6"
0.00567225451147539,0.870790131985486,0.153,0.113,1,"1","EPB41L4B"
0.00575113181290364,0.284184175092819,0.583,0.584,1,"1","COPB2"
0.00580393213875639,-0.375578082470192,0.163,0.23,1,"1","RINT1"
0.00584234031531552,-0.324158403286054,0.084,0.135,1,"1","THY1"
0.00586518075869892,0.562327116112429,0.228,0.185,1,"1","WWC1"
0.00592218524495856,-0.283579342450798,0.125,0.187,1,"1","RHOH"
0.00593142366736954,-0.308309769631842,0.204,0.274,1,"1","EIF4A3"
0.00599679507524399,0.855315174334172,0.14,0.101,1,"1","BICDL2"
0.00600025435787165,-0.271168564811039,0.146,0.211,1,"1","EIF2B3"
0.00609390361559723,-0.378273103353854,0.138,0.199,1,"1","ACAT2"
0.00611139869709496,0.77193402199332,0.213,0.174,1,"1","COL13A1"
0.00612043860193923,-0.337887454877591,0.077,0.127,1,"1","UBXN8"
0.00614987905738369,-0.508130437471861,0.116,0.17,1,"1","TSPAN6"
0.00615593302990687,-0.711793298464689,0.071,0.115,1,"1","CIP2A"
0.00616191196177903,-0.368852298004186,0.168,0.233,1,"1","ATP11C"
0.00620094398585494,-0.325048340264226,0.206,0.277,1,"1","HPRT1"
0.00626125516422381,-0.266853199279036,0.181,0.249,1,"1","GSTM3"
0.00626425671891767,0.424879452444744,0.305,0.261,1,"1","PTN"
0.00626457933043683,-0.278832047190662,0.351,0.436,1,"1","WSB2"
0.00628146505150631,-0.365592655903111,0.123,0.181,1,"1","RGS9"
0.00632549480921597,0.90464007368643,0.144,0.105,1,"1","PCDH9"
0.00633351922745559,0.262683445354795,0.667,0.672,1,"1","SNX30"
0.00640162353915633,-0.31779701141786,0.166,0.233,1,"1","STK33"
0.00640851251397143,-0.259776011315655,0.189,0.261,1,"1","BBS4"
0.00640933028061314,0.497697749656357,0.258,0.211,1,"1","TPPP3"
0.00647853553910671,-0.531445812682856,0.112,0.163,1,"1","ADAL"
0.00649768711696314,-0.425079765854391,0.067,0.111,1,"1","TMEM254"
0.00650412621983539,-0.320261591341888,0.159,0.227,1,"1","FSD1L"
0.00656130787126159,-0.373029813164657,0.157,0.22,1,"1","TRAJ9"
0.00658385881869966,-0.29435487704472,0.127,0.187,1,"1","C12orf29"
0.00660065186509729,0.823117773144096,0.11,0.074,1,"1","FAM162B"
0.0066552624937863,0.451975472940235,0.346,0.305,1,"1","HSBP1L1"
0.00665814093142557,-0.458231047475379,0.086,0.135,1,"1","PHETA2"
0.00667066381056948,-0.31515566070736,0.335,0.414,1,"1","HIST1H2BG"
0.00669061473146927,-0.539211524726485,0.071,0.116,1,"1","CXCR3"
0.00682039506908508,-0.534759592215718,0.062,0.106,1,"1","ERCC4"
0.00685794485424517,0.253106905116496,0.617,0.601,1,"1","PIM3"
0.00689865494759238,-0.332561547568501,0.116,0.172,1,"1","SLC2A13"
0.00693733539631737,0.357698000560053,0.51,0.487,1,"1","CGNL1"
0.00695591480714731,-0.632917517630064,0.065,0.107,1,"1","NGRN"
0.00696373397904243,0.294989067433738,0.598,0.591,1,"1","KIAA1522"
0.00696918284270449,-0.314745530837928,0.28,0.35,1,"1","LONRF1"
0.00700560216560713,-0.263767119221336,0.114,0.169,1,"1","HPS5"
0.0070238607517507,-0.258447852122288,0.185,0.253,1,"1","PFN2"
0.00706486371691404,-0.364665891207218,0.118,0.172,1,"1","GALNT12"
0.00706830886885394,-0.330756831563635,0.265,0.338,1,"1","PPP1R37"
0.00707594431592852,-0.331147471350111,0.135,0.192,1,"1","HAT1"
0.00709412479535123,0.471542372817618,0.275,0.23,1,"1","MPZL2"
0.00709637912106852,-0.37101327560076,0.228,0.3,1,"1","CENPP"
0.00712727085760607,-0.415187070851588,0.112,0.166,1,"1","ZNF282"
0.00717449015034932,-0.296575346093846,0.099,0.152,1,"1","C16orf87"
0.00721469943249506,-0.258434114196704,0.258,0.336,1,"1","BCS1L"
0.00727009642074368,-0.312786954458956,0.12,0.177,1,"1","TBC1D22B"
0.00730221385371253,-0.365706399001024,0.088,0.138,1,"1","ABCG2"
0.0073449706440575,0.440598154175342,0.34,0.302,1,"1","RBMS3"
0.00745983829576421,-0.286140373149703,0.135,0.196,1,"1","TMEM255B"
0.00746079858929211,-0.387359462878625,0.097,0.146,1,"1","GNB3"
0.00747638124322837,-0.461093740175507,0.082,0.129,1,"1","ZNF275"
0.00748122729252334,-0.372763367305672,0.194,0.261,1,"1","KIZ"
0.00748484159397271,0.751101034812464,0.138,0.1,1,"1","ERICH2"
0.00749105466249926,0.44749700841735,0.432,0.403,1,"1","F11R"
0.00749540768408868,-0.54797319058297,0.071,0.115,1,"1","E2F3"
0.00750726964151913,-0.376284628352321,0.163,0.223,1,"1","DHRS9"
0.00753307738591572,-0.272215657000777,0.213,0.283,1,"1","LEO1"
0.00761383842788604,-0.468481228174882,0.127,0.182,1,"1","EID2"
0.00762459309744678,-0.25355768377746,0.161,0.226,1,"1","S1PR2"
0.00763352295378168,0.537044939090066,0.254,0.208,1,"1","ZNF608"
0.00768693603365514,-0.274991496080514,0.131,0.191,1,"1","ZMYM3"
0.00775610068136096,0.459367733274384,0.363,0.332,1,"1","ST7"
0.00776003552077363,-0.603335359353748,0.069,0.112,1,"1","CDON"
0.00779394426015217,-0.366446356911025,0.155,0.215,1,"1","RRP8"
0.00789786700307413,0.253713682072553,0.639,0.635,1,"1","MICA"
0.00796908953123024,-0.474075053976014,0.082,0.128,1,"1","HIST1H1D"
0.00807457850982283,-0.317047024141081,0.196,0.263,1,"1","ELMOD2"
0.00809124024017061,-0.260225888472071,0.217,0.295,1,"1","ABHD17B"
0.00812992775838021,0.322258922986956,0.57,0.568,1,"1","MYO6"
0.00816649755175133,-0.295202491239437,0.215,0.288,1,"1","ST3GAL4"
0.00818578972638998,-0.311065935109959,0.069,0.114,1,"1","IL1RN"
0.00822973245208328,-0.384961061729214,0.088,0.137,1,"1","H2AFY2"
0.0082314550076199,-0.29101083130749,0.194,0.262,1,"1","PSMG4"
0.00823739327910391,-0.344419780345108,0.151,0.208,1,"1","PDGFC"
0.00823861245560407,0.432117800176965,0.406,0.383,1,"1","MAPK13"
0.00823980956028216,-0.347287341808675,0.116,0.17,1,"1","PDK1"
0.0083181320671703,-0.305277506378893,0.196,0.261,1,"1","MCC"
0.00843879808691921,-0.645896809335225,0.067,0.109,1,"1","CLEC11A"
0.00844644603166226,-0.309926123344226,0.178,0.245,1,"1","RBM18"
0.00844757459222533,-0.356613714940532,0.09,0.14,1,"1","THAP1"
0.00845256342436819,0.328748911540957,0.473,0.442,1,"1","AXIN2"
0.00847733911900413,0.866791193595165,0.105,0.071,1,"1","PTK6"
