FeatureName,Cancer,Alveolar,Mesenchymal ,LAM Core,Airway Epithelial ,Immune1 ,Immune2
FHL2,0.192989513,0.219463909,0.51656505,1.095113585,0.344938158,0.367367757,0.2510925
TGFBR3,0.459690298,0.567862865,0.915525954,2.259714073,0.408229564,0.718408058,0.580959117
CSDC2,0.221133817,0.252383495,0.592486715,1.13402625,0.167722224,0.375531485,0.2510925
GREM1,1.609586146,1.604829835,4.056598738,7.649118239,0.933548227,2.669539035,1.733030588
PDE3A,0.225154432,0.223578857,0.477859888,1.050641967,0.183545075,0.302057934,0.231398971
RAMP1,0.510618086,0.523970083,1.314486857,2.473733733,0.382913002,0.857191433,0.467721323
TAGLN,5.982674902,6.210828628,13.09127681,28.36455364,5.041160426,8.808662442,5.937599116
S1PR3,0.380618206,0.38680514,0.747307364,1.681583043,0.392406712,0.571460955,0.285556176
FGF7,0.435566609,0.519855135,0.900639353,2.017899652,0.354431869,0.636770779,0.521878529
GAS1,0.26536058,0.282559783,0.462973287,1.103452013,0.202532497,0.400022669,0.226475588
FBXL7,0.221133817,0.283931432,0.485303188,1.081216205,0.199367926,0.326549117,0.280632794
HAND2,0.485154192,0.48419225,1.155200228,2.173550313,0.208861637,0.71024433,0.472644706
PALLD,1.421957453,1.463549944,2.999650076,6.301072328,1.268992675,2.065423168,1.541018676
